Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",92.53.118.115,OK,"8,91","9,06","8,97"
"Россия, Москва, восток 2",92.53.118.115,OK,"9,35","9,48","9,39"
"Россия, Москва, восток 3",92.53.118.115,OK,"9,19","9,29","9,22"
"Россия, Москва, запад 1",92.53.118.115,OK,"9,68","9,86","9,79"
"Россия, Москва, запад 2",92.53.118.115,OK,"10,44","11,44","10,93"
"Россия, Москва, запад 3",92.53.118.115,OK,"8,04","8,07","8,05"
"Россия, Москва, запад 4",92.53.118.115,OK,"9,54","9,62","9,59"
"Россия, Москва, север",92.53.118.115,OK,"9,37","9,42","9,4"
"Россия, Москва, северо-восток 1",92.53.118.115,OK,"8,22","8,88","8,54"
"Россия, Москва, северо-восток 2",92.53.118.115,OK,"11,12","12,06","11,58"
"Россия, Москва, северо-восток 3",92.53.118.115,OK,"8,75","10,06","9,58"
"Россия, Москва, северо-восток 4",92.53.118.115,OK,"9,65","12,03","10,54"
"Россия, Москва, северо-запад",92.53.118.115,OK,"12,2","12,29","12,24"
"Россия, Москва, центр 1",92.53.118.115,OK,"8,63","8,67","8,65"
"Россия, Москва, центр 2",92.53.118.115,OK,"8,75","8,96","8,83"
"Россия, Москва, центр 3",92.53.118.115,OK,"9,89","10,04","9,99"
"Россия, Москва, центр 4",92.53.118.115,OK,"8,63","8,74","8,67"
"Россия, Москва, юг 1",92.53.118.115,OK,"8,01","9,4","8,66"
"Россия, Москва, юг 2",92.53.118.115,Потеряно 25% пакетов,"7,64","8,85","8,08"
"Россия, Москва, юго-восток",92.53.118.115,OK,"41,53","44,31","42,46"
"Россия, Москва, юго-запад",92.53.118.115,OK,"9,8","15,31","11,84"
"Россия, Апатиты",92.53.118.115,OK,"41,4","41,52","41,48"
"Россия, Владивосток",92.53.118.115,OK,"137,36","137,9","137,57"
"Россия, Владимир",92.53.118.115,OK,"13,41","13,48","13,44"
"Россия, Дубровка",92.53.118.115,OK,"1,51","1,6","1,54"
"Россия, Екатеринбург, запад",92.53.118.115,OK,"48,37","48,62","48,53"
"Россия, Екатеринбург, север",92.53.118.115,OK,"42,13","42,18","42,16"
"Россия, Екатеринбург, юг",92.53.118.115,OK,"41,34","42,27","41,65"
"Россия, Казань",92.53.118.115,OK,"28,7","32,08","29,9"
"Россия, Калининград",92.53.118.115,OK,"44,01","44,23","44,09"
"Россия, Кемерово",92.53.118.115,OK,"67,81","67,92","67,86"
"Россия, Королёв",92.53.118.115,OK,"11,51","12,99","12,13"
"Россия, Краснодар",92.53.118.115,OK,"26,88","27,87","27,53"
"Россия, Красноярск",92.53.118.115,OK,"70,53","70,68","70,61"
"Россия, Нижний Новгород",92.53.118.115,OK,"15,28","17,11","15,99"
"Россия, Новокузнецк",92.53.118.115,OK,"66,16","66,22","66,2"
"Россия, Новосибирск, север",92.53.118.115,OK,"54,48","55,19","54,91"
"Россия, Новосибирск, юг",92.53.118.115,Потеряно 25% пакетов,"56,08","56,87","56,42"
"Россия, Омск",92.53.118.115,OK,"49,04","49,11","49,06"
"Россия, Пермь",92.53.118.115,OK,"43,31","44,6","43,78"
"Россия, Петрозаводск",92.53.118.115,OK,"29,5","29,64","29,56"
"Россия, Ростов-на-Дону",92.53.118.115,OK,"26,09","26,19","26,15"
"Россия, Санкт-Петербург, восток",92.53.118.115,OK,"0,41","0,51","0,46"
"Россия, Санкт-Петербург, центр 1",92.53.118.115,OK,"1,08","1,5","1,34"
"Россия, Санкт-Петербург, центр 2",92.53.118.115,OK,"0,59","0,81","0,66"
"Россия, Санкт-Петербург, юг",92.53.118.115,OK,"31,91","31,97","31,94"
"Россия, Саратов",92.53.118.115,OK,"25,64","25,77","25,72"
"Россия, Симферополь",92.53.118.115,OK,"33,46","34,18","33,74"
"Россия, Тамбов",92.53.118.115,OK,"17,51","30,24","21,9"
"Россия, Томск, восток",92.53.118.115,OK,"97,03","97,28","97,16"
"Россия, Томск, северо-запад",92.53.118.115,OK,"62,72","65,04","63,61"
