Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Томск, центр",92.53.118.115,OK,"72,92","74,27","73,65"
"Россия, Тюмень",92.53.118.115,OK,"42,43","45,92","44,67"
"Россия, Уфа",92.53.118.115,OK,"34,69","36,37","35,6"
"Россия, Хабаровск",92.53.118.115,OK,"151,5","151,72","151,64"
"Россия, Химки",92.53.118.115,OK,"9,84","14,42","11,38"
"Россия, Челябинск",92.53.118.115,OK,"43,63","43,85","43,72"
"Россия, Южно-Сахалинск",92.53.118.115,OK,"206,82","214,61","211,42"
"Россия, Ярославль",92.53.118.115,OK,"13,75","13,92","13,82"
"Азербайджан, Баку",92.53.118.115,OK,"74,04","75,4","74,54"
"Белоруссия, Минск",92.53.118.115,OK,"21,19","21,38","21,27"
"Грузия, Тбилиси",92.53.118.115,OK,"73,38","74,05","73,61"
"Казахстан, Алатау",92.53.118.115,OK,"68,3","68,53","68,42"
"Казахстан, Алматы",92.53.118.115,OK,"63,95","64,21","64,07"
"Казахстан, Караганда",92.53.118.115,OK,"69,14","69,34","69,24"
"Киргизия, Бишкек 1",92.53.118.115,OK,"67,53","71,38","68,84"
"Киргизия, Бишкек 2",92.53.118.115,OK,"96,38","96,5","96,45"
"Латвия, Рига",92.53.118.115,Потеряно 25% пакетов,"33,64","34,6","34,06"
"Литва, Вильнюс",92.53.118.115,OK,"46,3","46,51","46,42"
"Молдавия, Кишинёв",92.53.118.115,OK,"68,28","68,52","68,39"
"Узбекистан, Ташкент",92.53.118.115,OK,"82,23","84,75","83,17"
"Украина, Днепр",92.53.118.115,OK,"27,77","28,23","27,93"
"Украина, Киев, восток",92.53.118.115,OK,"27,97","28,12","28,05"
"Украина, Киев, запад",92.53.118.115,OK,"19,46","19,52","19,49"
"Украина, Киев, запад",92.53.118.115,OK,"62,67","62,96","62,79"
"Украина, Киев, центр",92.53.118.115,OK,"39,78","39,81","39,8"
"Украина, Киев, юг",92.53.118.115,OK,"48,13","48,42","48,24"
"Украина, Киев, юго-восток",92.53.118.115,OK,"25,12","25,23","25,18"
"Украина, Николаев",92.53.118.115,OK,"52,74","52,81","52,77"
"Украина, Одесса, восток",92.53.118.115,OK,"35,41","35,45","35,43"
"Украина, Одесса, запад",92.53.118.115,OK,"33,18","34,09","33,57"
"Украина, Харьков, север",92.53.118.115,OK,"19,97","19,98","19,98"
"Украина, Харьков, юг",92.53.118.115,OK,"21,34","22,86","21,85"
"Украина, Хмельницкий",92.53.118.115,OK,"31,32","31,53","31,39"
"Эстония, Таллинн",92.53.118.115,OK,"37,09","37,19","37,12"
