Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",92.53.118.115,OK,"8,28","9,27","8,62"
"Россия, Москва, восток 2",92.53.118.115,OK,"7,98","8,05","8,02"
"Россия, Москва, восток 3",92.53.118.115,OK,"9,18","9,31","9,26"
"Россия, Москва, запад 1",92.53.118.115,OK,"9,61","9,72","9,66"
"Россия, Москва, запад 2",92.53.118.115,OK,"10,23",11,"10,55"
"Россия, Москва, запад 3",92.53.118.115,OK,"8,04","8,05","8,04"
"Россия, Москва, запад 4",92.53.118.115,OK,"9,55","9,76","9,63"
"Россия, Москва, север",92.53.118.115,OK,"9,34","9,37","9,36"
"Россия, Москва, северо-восток 1",92.53.118.115,OK,"8,44","8,98","8,63"
"Россия, Москва, северо-восток 2",92.53.118.115,OK,"11,29","12,39","11,68"
"Россия, Москва, северо-восток 3",92.53.118.115,OK,"8,29","8,38","8,34"
"Россия, Москва, северо-восток 4",92.53.118.115,OK,"9,63","10,88","10,16"
"Россия, Москва, северо-запад",92.53.118.115,OK,"10,87","11,07","10,98"
"Россия, Москва, центр 1",92.53.118.115,OK,"8,62","8,7","8,66"
"Россия, Москва, центр 2",92.53.118.115,OK,"8,7","111,04","64,25"
"Россия, Москва, центр 3",92.53.118.115,OK,"8,91",11,"9,73"
"Россия, Москва, центр 4",92.53.118.115,OK,"9,69","9,75","9,72"
"Россия, Москва, юг 1",92.53.118.115,OK,"7,85","8,03","7,94"
"Россия, Москва, юг 2",92.53.118.115,OK,"7,62","7,64","7,63"
"Россия, Москва, юго-восток",92.53.118.115,OK,"41,34","44,66","42,5"
"Россия, Москва, юго-запад",92.53.118.115,OK,"7,97","9,11","8,56"
"Россия, Апатиты",92.53.118.115,OK,"49,53","49,61","49,57"
"Россия, Владивосток",92.53.118.115,OK,"137,07","137,22","137,13"
"Россия, Владимир",92.53.118.115,OK,"13,35","13,93","13,56"
"Россия, Дубровка",92.53.118.115,OK,"1,44","1,5","1,47"
"Россия, Екатеринбург, запад",92.53.118.115,OK,"36,76","36,96","36,86"
"Россия, Екатеринбург, север",92.53.118.115,OK,"43,97","44,08","44,03"
"Россия, Екатеринбург, юг",92.53.118.115,OK,"41,3","48,96","44,57"
"Россия, Казань",92.53.118.115,OK,"29,35","30,47","29,86"
"Россия, Калининград",92.53.118.115,OK,"44,62","45,85","45,38"
"Россия, Кемерово",92.53.118.115,OK,"67,84","67,94","67,91"
"Россия, Королёв",92.53.118.115,OK,"9,71","10,25","9,89"
"Россия, Краснодар",92.53.118.115,OK,"26,15","26,98","26,47"
"Россия, Красноярск",92.53.118.115,OK,"70,77","70,97","70,86"
"Россия, Нижний Новгород",92.53.118.115,OK,"16,56","37,49","23,57"
"Россия, Новокузнецк",92.53.118.115,OK,"64,86","64,93","64,9"
"Россия, Новосибирск, север",92.53.118.115,OK,"53,75","54,76","54,13"
"Россия, Новосибирск, юг",92.53.118.115,Потеряно 40% пакетов,"57,35","57,49","57,42"
"Россия, Омск",92.53.118.115,OK,"47,7","48,17","47,88"
"Россия, Пермь",92.53.118.115,OK,"42,13",43,"42,5"
"Россия, Петрозаводск",92.53.118.115,OK,"30,62","30,67","30,65"
"Россия, Ростов-на-Дону",92.53.118.115,OK,"26,07","26,24","26,15"
"Россия, Санкт-Петербург, восток",92.53.118.115,OK,"0,38","0,54","0,46"
"Россия, Санкт-Петербург, центр 1",92.53.118.115,OK,"1,03","1,23","1,13"
"Россия, Санкт-Петербург, центр 2",92.53.118.115,OK,"0,35","0,41","0,38"
"Россия, Санкт-Петербург, юг",92.53.118.115,OK,"0,8","0,89","0,86"
"Россия, Саратов",92.53.118.115,OK,"21,89","22,3","22,07"
"Россия, Симферополь",92.53.118.115,OK,"32,31","33,58","32,88"
"Россия, Тамбов",92.53.118.115,OK,"16,75","21,98","18,51"
"Россия, Томск, восток",92.53.118.115,OK,"107,81","107,9","107,86"
"Россия, Томск, северо-запад",92.53.118.115,OK,"63,64","63,85","63,77"
"Россия, Томск, центр",92.53.118.115,OK,"65,92","67,64","66,55"
"Россия, Тюмень",92.53.118.115,OK,"42,38","47,13","45,37"
"Россия, Уфа",92.53.118.115,OK,"31,51","32,92","32,43"
"Россия, Хабаровск",92.53.118.115,Потеряно 25% пакетов,"122,26","122,31","122,28"
"Россия, Химки",92.53.118.115,OK,"10,32","10,37","10,34"
"Россия, Челябинск",92.53.118.115,OK,"44,85","45,23","45,05"
"Россия, Южно-Сахалинск",92.53.118.115,OK,"158,17","158,67","158,41"
"Россия, Ярославль",92.53.118.115,OK,"15,04","15,28","15,18"
"Азербайджан, Баку",92.53.118.115,OK,"72,58","73,45","72,99"
"Белоруссия, Минск",92.53.118.115,OK,"22,62","22,78","22,68"
"Грузия, Тбилиси",92.53.118.115,OK,"72,11","72,92","72,42"
"Казахстан, Алатау",92.53.118.115,OK,"73,06","73,51","73,24"
"Казахстан, Алматы",92.53.118.115,OK,"63,18","63,37","63,25"
"Казахстан, Караганда",92.53.118.115,OK,"71,01","82,56","75,35"
"Киргизия, Бишкек 1",92.53.118.115,OK,"67,61","67,9","67,74"
"Киргизия, Бишкек 2",92.53.118.115,OK,"64,19","65,61","64,69"
"Латвия, Рига",92.53.118.115,OK,"20,48","20,56","20,53"
"Литва, Вильнюс",92.53.118.115,OK,"46,37","46,87","46,55"
"Молдавия, Кишинёв",92.53.118.115,OK,"68,31","68,47","68,38"
"Узбекистан, Ташкент",92.53.118.115,OK,"93,98","94,33","94,11"
"Украина, Днепр",92.53.118.115,OK,"27,75","27,81","27,77"
"Украина, Киев, восток",92.53.118.115,OK,"29,18","29,23","29,2"
"Украина, Киев, запад",92.53.118.115,OK,"20,71","21,18","20,95"
"Украина, Киев, запад",92.53.118.115,OK,"62,67","62,81","62,74"
"Украина, Киев, центр",92.53.118.115,OK,"39,73","39,76","39,75"
"Украина, Киев, юг",92.53.118.115,OK,"64,13","64,28","64,19"
"Украина, Киев, юго-восток",92.53.118.115,OK,"26,35","26,48","26,41"
"Украина, Николаев",92.53.118.115,OK,"52,66",53,"52,83"
"Украина, Одесса, восток",92.53.118.115,OK,"34,73","34,8","34,77"
"Украина, Одесса, запад",92.53.118.115,OK,"33,14","33,21","33,18"
"Украина, Харьков, север",92.53.118.115,OK,"21,19","21,8","21,4"
"Украина, Харьков, юг",92.53.118.115,OK,"21,34","21,59","21,5"
"Украина, Хмельницкий",92.53.118.115,OK,"34,82","34,86","34,84"
"Эстония, Таллинн",92.53.118.115,OK,"11,8","11,92","11,87"
