Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",188.225.27.13,OK,"9,59","9,95","9,74"
"Россия, Москва, восток 2",188.225.27.13,OK,"10,04","10,17","10,1"
"Россия, Москва, восток 3",188.225.27.13,OK,"10,63","11,52","10,93"
"Россия, Москва, запад 1",188.225.27.13,OK,"8,38","8,45","8,42"
"Россия, Москва, запад 2",188.225.27.13,OK,"8,83","9,15","8,99"
"Россия, Москва, запад 3",188.225.27.13,OK,"8,22","8,35","8,27"
"Россия, Москва, запад 4",188.225.27.13,OK,"8,57","8,94","8,72"
"Россия, Москва, север",188.225.27.13,OK,"9,26","9,28","9,27"
"Россия, Москва, северо-восток 1",188.225.27.13,OK,"8,07","8,41","8,27"
"Россия, Москва, северо-восток 2",188.225.27.13,OK,"10,33","10,73","10,47"
"Россия, Москва, северо-восток 3",188.225.27.13,OK,"9,2","12,53","10,32"
"Россия, Москва, северо-восток 4",188.225.27.13,OK,"9,69","9,78","9,73"
"Россия, Москва, северо-запад",188.225.27.13,OK,"8,46","8,51","8,48"
"Россия, Москва, центр 1",188.225.27.13,OK,"8,6","8,73","8,67"
"Россия, Москва, центр 2",188.225.27.13,OK,"8,47","27,4","15,27"
"Россия, Москва, центр 3",188.225.27.13,OK,"9,82","10,05","9,92"
"Россия, Москва, центр 4",188.225.27.13,OK,"8,37","8,44","8,4"
"Россия, Москва, юг 1",188.225.27.13,OK,"9,2","9,43","9,31"
"Россия, Москва, юг 2",188.225.27.13,OK,"7,57","7,62","7,59"
"Россия, Москва, юго-восток",188.225.27.13,OK,"40,87","41,19","41,01"
"Россия, Москва, юго-запад",188.225.27.13,OK,"8,75","9,54","9,21"
"Россия, Апатиты",188.225.27.13,OK,"42,09","42,38","42,19"
"Россия, Владивосток",188.225.27.13,OK,"137,18","137,23","137,21"
"Россия, Владимир",188.225.27.13,OK,"12,68","12,81","12,77"
"Россия, Дубровка",188.225.27.13,OK,"1,49","1,55","1,53"
"Россия, Екатеринбург, запад",188.225.27.13,OK,"36,78","37,07","36,93"
"Россия, Екатеринбург, север",188.225.27.13,OK,"40,8","40,86","40,83"
"Россия, Екатеринбург, юг",188.225.27.13,OK,"52,79","57,52","54,72"
"Россия, Казань",188.225.27.13,OK,"30,04","30,48","30,22"
"Россия, Калининград",188.225.27.13,OK,"32,78","33,77","33,38"
"Россия, Кемерово",188.225.27.13,OK,"66,42","66,68","66,53"
"Россия, Королёв",188.225.27.13,OK,"11,68","16,4","14,45"
"Россия, Краснодар",188.225.27.13,OK,"25,27","25,53","25,43"
"Россия, Красноярск",188.225.27.13,OK,"59,32","59,41","59,35"
"Россия, Нижний Новгород",188.225.27.13,OK,"16,02","16,64","16,39"
"Россия, Новокузнецк",188.225.27.13,OK,"62,07","64,14","62,78"
"Россия, Новосибирск, север",188.225.27.13,OK,"56,08","56,67","56,37"
"Россия, Новосибирск, юг",188.225.27.13,OK,"60,34","60,59","60,44"
"Россия, Омск",188.225.27.13,OK,"47,82","47,95","47,88"
"Россия, Пермь",188.225.27.13,OK,"28,23","28,28","28,26"
"Россия, Петрозаводск",188.225.27.13,OK,"25,73","25,83","25,79"
"Россия, Ростов-на-Дону",188.225.27.13,OK,"25,7","25,77","25,72"
"Россия, Санкт-Петербург, восток",188.225.27.13,OK,"0,49","0,5","0,49"
