Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Санкт-Петербург, центр 1",188.225.27.13,OK,"1,54","2,02","1,72"
"Россия, Санкт-Петербург, центр 2",188.225.27.13,OK,"0,41","0,44","0,43"
"Россия, Санкт-Петербург, юг",188.225.27.13,OK,"0,88","0,91","0,9"
"Россия, Саратов",188.225.27.13,OK,"27,6","27,85","27,75"
"Россия, Симферополь",188.225.27.13,OK,"33,2","33,71","33,47"
"Россия, Тамбов",188.225.27.13,OK,"15,62","18,38","16,54"
"Россия, Томск, восток",188.225.27.13,OK,"61,4","61,56","61,48"
"Россия, Томск, северо-запад",188.225.27.13,OK,"64,66","64,8","64,73"
"Россия, Томск, центр",188.225.27.13,OK,"66,89","67,28","67,06"
"Россия, Тюмень",188.225.27.13,OK,"41,67","48,48","45,3"
"Россия, Уфа",188.225.27.13,OK,"36,28","37,4","36,82"
"Россия, Хабаровск",188.225.27.13,OK,"121,23","121,49","121,35"
"Россия, Химки",188.225.27.13,OK,"8,66","8,82","8,75"
"Россия, Челябинск",188.225.27.13,OK,"44,33","44,47","44,4"
"Россия, Южно-Сахалинск",188.225.27.13,OK,"160,18","160,64","160,44"
"Россия, Ярославль",188.225.27.13,OK,"12,84","12,96","12,88"
"Азербайджан, Баку",188.225.27.13,OK,"59,74","62,88","60,82"
"Белоруссия, Минск",188.225.27.13,OK,"25,23","25,32","25,28"
"Грузия, Тбилиси",188.225.27.13,OK,"65,26","66,13","65,55"
"Казахстан, Алатау",188.225.27.13,OK,"73,15","77,21","74,54"
"Казахстан, Алматы",188.225.27.13,OK,"160,97","166,31","163,71"
"Казахстан, Караганда",188.225.27.13,OK,"78,41","78,49","78,44"
"Киргизия, Бишкек 1",188.225.27.13,OK,"80,18","81,28","80,61"
"Киргизия, Бишкек 2",188.225.27.13,OK,"62,36","62,68","62,47"
"Латвия, Рига",188.225.27.13,OK,"13,08","13,18","13,11"
"Литва, Вильнюс",188.225.27.13,OK,"28,63","28,86","28,75"
"Молдавия, Кишинёв",188.225.27.13,OK,"68,44","68,55","68,5"
"Узбекистан, Ташкент",188.225.27.13,OK,"81,87","82,25","82,03"
"Украина, Днепр",188.225.27.13,OK,"30,53","30,57","30,55"
"Украина, Киев, восток",188.225.27.13,OK,"25,36","25,48","25,43"
"Украина, Киев, запад",188.225.27.13,OK,"17,73","17,74","17,74"
"Украина, Киев, запад",188.225.27.13,OK,"62,56","62,72","62,66"
"Украина, Киев, центр",188.225.27.13,OK,"59,51","61,77","60,43"
"Украина, Киев, юг",188.225.27.13,OK,"58,13","58,42","58,24"
"Украина, Киев, юго-восток",188.225.27.13,OK,"26,36","26,61","26,47"
"Украина, Николаев",188.225.27.13,OK,"45,92","45,95","45,93"
"Украина, Одесса, восток",188.225.27.13,OK,"35,46","35,53","35,49"
"Украина, Одесса, запад",188.225.27.13,OK,"34,27","45,15","38,09"
"Украина, Харьков, север",188.225.27.13,OK,"19,32","20,58","19,75"
"Украина, Харьков, юг",188.225.27.13,OK,"18,82","18,93","18,88"
"Украина, Хмельницкий",188.225.27.13,OK,"31,18","31,28","31,22"
"Эстония, Таллинн",188.225.27.13,OK,8,"8,12","8,07"
