Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",92.53.96.165,OK,"10,82","10,89","10,85"
"Россия, Москва, восток 2",92.53.96.165,OK,"8,52","14,18","10,45"
"Россия, Москва, восток 3",92.53.96.165,OK,"9,28","9,34","9,32"
"Россия, Москва, запад 1",92.53.96.165,OK,"8,54","8,67","8,58"
"Россия, Москва, запад 2",92.53.96.165,OK,"10,3","10,35","10,33"
"Россия, Москва, запад 3",92.53.96.165,OK,"8,3","9,24","8,61"
"Россия, Москва, запад 4",92.53.96.165,OK,"9,93","10,04","9,98"
"Россия, Москва, север",92.53.96.165,OK,"9,39","9,43","9,4"
"Россия, Москва, северо-восток 1",92.53.96.165,OK,"8,09","8,18","8,12"
"Россия, Москва, северо-восток 2",92.53.96.165,OK,"8,86","11,35","9,71"
"Россия, Москва, северо-восток 3",92.53.96.165,OK,"10,53","10,89","10,7"
"Россия, Москва, северо-восток 4",92.53.96.165,OK,"11,24","11,39","11,29"
"Россия, Москва, северо-запад",92.53.96.165,OK,"9,11","9,19","9,16"
"Россия, Москва, центр 1",92.53.96.165,OK,"9,88","9,98","9,92"
"Россия, Москва, центр 2",92.53.96.165,OK,"8,52","16,1","11,16"
"Россия, Москва, центр 3",92.53.96.165,OK,"11,41","11,45","11,43"
"Россия, Москва, центр 4",92.53.96.165,OK,"9,79","9,96","9,87"
"Россия, Москва, юг 1",92.53.96.165,OK,"10,63","10,79","10,69"
"Россия, Москва, юг 2",92.53.96.165,OK,"9,07","9,1","9,09"
"Россия, Москва, юго-восток",92.53.96.165,OK,"41,26","41,91","41,52"
"Россия, Москва, юго-запад",92.53.96.165,OK,"9,97","10,76","10,44"
"Россия, Апатиты",92.53.96.165,OK,"42,08","42,12","42,1"
"Россия, Владивосток",92.53.96.165,OK,"141,6","141,7","141,65"
"Россия, Владимир",92.53.96.165,OK,"12,11","12,21","12,15"
"Россия, Дубровка",92.53.96.165,OK,"1,41","1,48","1,45"
"Россия, Екатеринбург, запад",92.53.96.165,OK,"38,09","38,39","38,24"
"Россия, Екатеринбург, север",92.53.96.165,OK,"36,22","36,41","36,3"
"Россия, Екатеринбург, юг",Ошибка: не пингуется.,,,,
"Россия, Казань",92.53.96.165,OK,"27,97","33,32","29,8"
"Россия, Калининград",92.53.96.165,OK,"35,06","35,08","35,07"
"Россия, Кемерово",92.53.96.165,OK,"65,13","65,37","65,28"
"Россия, Королёв",92.53.96.165,OK,"10,19","14,03","11,53"
"Россия, Краснодар",92.53.96.165,OK,"24,37","25,38","24,74"
"Россия, Красноярск",92.53.96.165,OK,"59,23","59,33","59,28"
"Россия, Нижний Новгород",92.53.96.165,OK,"27,75","31,63","30,3"
"Россия, Новокузнецк",92.53.96.165,OK,"65,46","65,83","65,61"
"Россия, Новосибирск, север",92.53.96.165,OK,"54,4","55,57","55,14"
"Россия, Новосибирск, юг",92.53.96.165,OK,"62,19","62,4","62,3"
"Россия, Омск",92.53.96.165,OK,"49,18","49,66","49,37"
"Россия, Пермь",92.53.96.165,OK,"35,1","36,21","35,47"
"Россия, Петрозаводск",92.53.96.165,OK,"27,7","27,89","27,81"
"Россия, Ростов-на-Дону",92.53.96.165,OK,"55,16","55,22","55,2"
"Россия, Санкт-Петербург, восток",92.53.96.165,OK,"0,38","0,5","0,45"
"Россия, Санкт-Петербург, центр 1",92.53.96.165,OK,"8,42","8,72","8,55"
"Россия, Санкт-Петербург, центр 2",92.53.96.165,OK,"0,35","0,52","0,42"
"Россия, Санкт-Петербург, юг",92.53.96.165,OK,"0,75","0,8","0,78"
"Россия, Саратов",92.53.96.165,OK,"21,64","22,36","21,89"
"Россия, Симферополь",92.53.96.165,OK,"32,95","34,77","33,83"
"Россия, Тамбов",92.53.96.165,OK,"15,03","19,25","16,45"
"Россия, Томск, восток",92.53.96.165,OK,"62,46","62,59","62,54"
"Россия, Томск, северо-запад",92.53.96.165,OK,"59,79","60,11","59,91"
"Россия, Томск, центр",92.53.96.165,OK,"67,18","69,73","68,25"
"Россия, Тюмень",92.53.96.165,OK,"48,09","52,27","50,79"
"Россия, Уфа",92.53.96.165,OK,"41,08","41,76","41,46"
"Россия, Хабаровск",92.53.96.165,OK,"127,84","127,93","127,89"
"Россия, Химки",92.53.96.165,OK,"10,02","10,08","10,05"
"Россия, Челябинск",92.53.96.165,OK,"73,95","74,3","74,1"
"Россия, Южно-Сахалинск",92.53.96.165,OK,"153,81","154,57","154,19"
"Россия, Ярославль",92.53.96.165,OK,"12,53","12,56","12,55"
"Азербайджан, Баку",92.53.96.165,OK,"59,55","60,35","59,83"
"Белоруссия, Минск",92.53.96.165,OK,"44,54","44,78","44,65"
"Грузия, Тбилиси",92.53.96.165,OK,"79,57","79,92","79,79"
"Казахстан, Алатау",92.53.96.165,OK,"71,17","71,28","71,2"
"Казахстан, Алматы",92.53.96.165,Потеряно 25% пакетов,"158,32","165,65","161,09"
"Казахстан, Караганда",92.53.96.165,OK,"72,43","72,52","72,47"
"Киргизия, Бишкек 1",92.53.96.165,OK,"92,8","94,48","93,37"
"Киргизия, Бишкек 2",92.53.96.165,OK,"63,63","65,06","64,24"
"Латвия, Рига",92.53.96.165,OK,"20,41","20,52","20,48"
"Литва, Вильнюс",92.53.96.165,OK,"31,45","31,54","31,49"
"Молдавия, Кишинёв",92.53.96.165,OK,"70,85","71,02","70,93"
"Узбекистан, Ташкент",92.53.96.165,OK,"81,69","82,34","81,93"
"Украина, Днепр",92.53.96.165,OK,"27,26","27,28","27,27"
"Украина, Киев, восток",92.53.96.165,OK,"23,89",24,"23,94"
"Украина, Киев, запад",92.53.96.165,OK,"20,09","20,09","20,09"
"Украина, Киев, запад",92.53.96.165,OK,"59,6","59,87","59,72"
"Украина, Киев, центр",92.53.96.165,OK,"50,82","50,83","50,83"
"Украина, Киев, юг",92.53.96.165,OK,"40,66","40,74","40,7"
"Украина, Киев, юго-восток",92.53.96.165,OK,"25,99","26,51","26,19"
"Украина, Николаев",92.53.96.165,OK,"34,72","34,72","34,72"
"Украина, Одесса, восток",92.53.96.165,OK,"32,77","33,58","33,09"
"Украина, Одесса, запад",92.53.96.165,OK,"34,81","38,78","36,29"
"Украина, Харьков, север",92.53.96.165,OK,"18,76","18,95","18,84"
"Украина, Харьков, юг",92.53.96.165,OK,"19,94","20,16","20,05"
"Украина, Хмельницкий",92.53.96.165,OK,"30,71","30,72","30,71"
"Эстония, Таллинн",92.53.96.165,OK,"17,28","17,53","17,41"
