Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Киргизия, Бишкек 1",92.53.96.165,OK,"79,57","84,31","81,2"
"Киргизия, Бишкек 2",92.53.96.165,OK,"63,99","68,76","66,72"
"Латвия, Рига",92.53.96.165,OK,"21,78","21,8","21,79"
"Литва, Вильнюс",92.53.96.165,OK,"48,65","48,98","48,79"
"Молдавия, Кишинёв",92.53.96.165,OK,"71,06","74,46","72,58"
"Узбекистан, Ташкент",92.53.96.165,OK,"80,58","80,78","80,65"
"Украина, Днепр",92.53.96.165,OK,"31,95","32,02","31,98"
"Украина, Киев, восток",92.53.96.165,OK,30,"30,06","30,03"
"Украина, Киев, запад",92.53.96.165,OK,"18,81","18,9","18,86"
"Украина, Киев, запад",92.53.96.165,OK,"59,63","59,72","59,69"
"Украина, Киев, центр",92.53.96.165,OK,"54,94","56,49","55,47"
"Украина, Киев, юг",92.53.96.165,OK,"49,84","49,87","49,86"
"Украина, Киев, юго-восток",92.53.96.165,OK,"26,37","26,39","26,38"
"Украина, Николаев",92.53.96.165,OK,"38,59","38,67","38,63"
"Украина, Одесса, восток",92.53.96.165,OK,"31,3","31,67","31,43"
"Украина, Одесса, запад",92.53.96.165,OK,"37,33","37,44","37,37"
"Украина, Харьков, север",92.53.96.165,OK,20,"20,12","20,05"
"Украина, Харьков, юг",92.53.96.165,OK,"18,73","18,94","18,86"
"Украина, Хмельницкий",92.53.96.165,OK,"31,34","31,37","31,36"
"Эстония, Таллинн",92.53.96.165,OK,"18,63","18,87","18,71"
