Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",92.53.96.165,OK,"11,3","11,38","11,33"
"Россия, Москва, восток 2",92.53.96.165,OK,"8,22","8,63","8,38"
"Россия, Москва, восток 3",92.53.96.165,OK,"8,58","11,54","9,58"
"Россия, Москва, запад 1",92.53.96.165,OK,"9,51","9,59","9,54"
"Россия, Москва, запад 2",92.53.96.165,OK,"10,58","11,4","10,88"
"Россия, Москва, запад 3",92.53.96.165,OK,"8,3","8,49","8,37"
"Россия, Москва, запад 4",92.53.96.165,OK,"9,83","14,06","11,28"
"Россия, Москва, север",92.53.96.165,OK,"9,41","9,45","9,43"
"Россия, Москва, северо-восток 1",92.53.96.165,OK,"9,71","9,77","9,73"
"Россия, Москва, северо-восток 2",92.53.96.165,OK,"9,76","10,09","9,95"
"Россия, Москва, северо-восток 3",92.53.96.165,OK,"8,66","8,79","8,72"
"Россия, Москва, северо-восток 4",92.53.96.165,OK,"8,52","8,68","8,57"
"Россия, Москва, северо-запад",92.53.96.165,OK,"9,96","10,06",10
"Россия, Москва, центр 1",92.53.96.165,OK,"11,2","11,23","11,21"
"Россия, Москва, центр 2",92.53.96.165,OK,"8,71","42,23","20,14"
"Россия, Москва, центр 3",92.53.96.165,OK,"8,8","8,85","8,83"
"Россия, Москва, центр 4",92.53.96.165,OK,"8,46","8,49","8,47"
"Россия, Москва, юг 1",92.53.96.165,OK,"9,41","9,52","9,47"
"Россия, Москва, юг 2",92.53.96.165,OK,"9,06","9,15","9,1"
"Россия, Москва, юго-восток",92.53.96.165,OK,"41,64","41,91","41,76"
"Россия, Москва, юго-запад",92.53.96.165,OK,"8,35","8,9","8,62"
"Россия, Апатиты",92.53.96.165,OK,"41,51","41,54","41,52"
"Россия, Владивосток",92.53.96.165,OK,"141,45","141,57","141,49"
"Россия, Владимир",92.53.96.165,OK,"12,03","12,28","12,13"
"Россия, Дубровка",92.53.96.165,OK,"1,56","1,61","1,58"
"Россия, Екатеринбург, запад",92.53.96.165,OK,37,"37,12","37,06"
"Россия, Екатеринбург, север",92.53.96.165,OK,"37,19","37,32","37,23"
"Россия, Екатеринбург, юг",92.53.96.165,OK,"41,06","42,01","41,43"
"Россия, Казань",92.53.96.165,OK,"29,07","30,7","29,71"
"Россия, Калининград",92.53.96.165,OK,"35,03","35,68","35,27"
"Россия, Кемерово",92.53.96.165,OK,"72,13","72,19","72,15"
"Россия, Королёв",92.53.96.165,OK,"10,36","11,41","11,02"
"Россия, Краснодар",92.53.96.165,OK,"24,1","25,38","24,94"
"Россия, Красноярск",92.53.96.165,OK,"84,15","107,43","98,02"
"Россия, Нижний Новгород",92.53.96.165,OK,"25,91","29,88","27,39"
"Россия, Новокузнецк",92.53.96.165,OK,"73,43","73,56","73,48"
"Россия, Новосибирск, север",92.53.96.165,OK,"56,68","57,58","57,09"
"Россия, Новосибирск, юг",92.53.96.165,OK,"56,68","57,11","56,97"
"Россия, Омск",92.53.96.165,OK,"48,84","49,1",49
"Россия, Пермь",92.53.96.165,OK,"42,81","45,51","43,76"
"Россия, Петрозаводск",92.53.96.165,OK,"28,99","29,32","29,15"
"Россия, Ростов-на-Дону",92.53.96.165,OK,"56,16","56,33","56,24"
"Россия, Санкт-Петербург, восток",92.53.96.165,OK,"0,37","0,41","0,39"
"Россия, Санкт-Петербург, центр 1",92.53.96.165,OK,"8,59","8,83","8,73"
"Россия, Санкт-Петербург, центр 2",92.53.96.165,OK,"0,36","0,38","0,37"
"Россия, Санкт-Петербург, юг",92.53.96.165,OK,"0,74","4,06","1,94"
"Россия, Саратов",92.53.96.165,OK,"22,65","22,99","22,88"
"Россия, Симферополь",92.53.96.165,OK,"32,62","33,02","32,87"
"Россия, Тамбов",92.53.96.165,OK,"16,66","20,55","18,24"
"Россия, Томск, восток",92.53.96.165,OK,"118,93","120,45","119,49"
"Россия, Томск, северо-запад",92.53.96.165,OK,"69,89","70,52","70,17"
"Россия, Томск, центр",92.53.96.165,OK,"94,13","98,77","95,94"
"Россия, Тюмень",92.53.96.165,OK,"45,29","50,57","48,66"
"Россия, Уфа",92.53.96.165,OK,"40,6","40,79","40,7"
"Россия, Хабаровск",92.53.96.165,OK,"124,53","124,84","124,64"
"Россия, Химки",92.53.96.165,OK,"10,41","10,46","10,43"
"Россия, Челябинск",92.53.96.165,OK,"74,15","75,33","74,72"
"Россия, Южно-Сахалинск",92.53.96.165,OK,"156,59","156,91","156,71"
"Россия, Ярославль",92.53.96.165,OK,"12,5","12,55","12,53"
"Азербайджан, Баку",92.53.96.165,OK,"63,3","64,14","63,71"
"Белоруссия, Минск",92.53.96.165,OK,"41,64","41,83","41,74"
"Грузия, Тбилиси",92.53.96.165,OK,"76,65","77,36","76,94"
"Казахстан, Алатау",92.53.96.165,OK,"63,64","63,83","63,73"
"Казахстан, Алматы",92.53.96.165,OK,"64,75","68,32","65,94"
"Казахстан, Караганда",92.53.96.165,OK,70,"70,28","70,1"
