Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Кемерово",92.53.96.165,OK,"60,79","61,06","60,88"
"Россия, Королёв",92.53.96.165,OK,"11,14","12,82","12,1"
"Россия, Краснодар",92.53.96.165,OK,"24,24","24,54","24,39"
"Россия, Красноярск",92.53.96.165,OK,"77,91","78,03","77,98"
"Россия, Нижний Новгород",92.53.96.165,OK,"28,06","28,66","28,44"
"Россия, Новокузнецк",92.53.96.165,OK,"62,02","62,1","62,05"
"Россия, Новосибирск, север",92.53.96.165,OK,"54,36","55,54","54,81"
"Россия, Новосибирск, юг",92.53.96.165,OK,"57,42","58,74","58,27"
"Россия, Омск",92.53.96.165,OK,"50,09","50,17","50,14"
"Россия, Пермь",92.53.96.165,Потеряно 25% пакетов,"43,08","43,83","43,44"
"Россия, Петрозаводск",92.53.96.165,OK,"28,92","29,15",29
"Россия, Ростов-на-Дону",92.53.96.165,OK,"56,25","56,32","56,29"
"Россия, Санкт-Петербург, восток",92.53.96.165,OK,"0,4","1,99","0,94"
"Россия, Санкт-Петербург, центр 1",92.53.96.165,OK,"8,39","8,52","8,45"
"Россия, Санкт-Петербург, центр 2",92.53.96.165,OK,"0,55","0,61","0,59"
"Россия, Санкт-Петербург, юг",92.53.96.165,OK,"31,89","31,92","31,9"
"Россия, Саратов",92.53.96.165,OK,"24,39","25,09","24,66"
"Россия, Симферополь",92.53.96.165,OK,"32,44","33,73","32,93"
"Россия, Тамбов",92.53.96.165,OK,"16,62","19,68","18,07"
"Россия, Томск, восток",92.53.96.165,OK,"97,86","98,06","97,93"
"Россия, Томск, северо-запад",92.53.96.165,OK,"68,89","72,64","70,23"
"Россия, Томск, центр",92.53.96.165,OK,"64,27","64,71","64,52"
"Россия, Тюмень",92.53.96.165,OK,"45,61","50,92","48,87"
"Россия, Уфа",92.53.96.165,Потеряно 25% пакетов,"42,13","42,86","42,43"
"Россия, Хабаровск",92.53.96.165,OK,"149,26","149,43","149,32"
"Россия, Химки",92.53.96.165,OK,"9,91","10,06","9,98"
"Россия, Челябинск",92.53.96.165,OK,"75,63","75,93","75,81"
"Россия, Южно-Сахалинск",92.53.96.165,OK,"182,66","185,38","184,34"
"Россия, Ярославль",92.53.96.165,OK,"13,78","14,58","14,07"
"Азербайджан, Баку",92.53.96.165,OK,"58,48","59,82","59,08"
"Белоруссия, Минск",92.53.96.165,OK,"41,51","41,69","41,61"
"Грузия, Тбилиси",92.53.96.165,OK,"83,51","85,06","84,37"
"Казахстан, Алатау",92.53.96.165,OK,"69,7","69,89","69,79"
"Казахстан, Алматы",92.53.96.165,OK,"67,38","67,64","67,51"
"Казахстан, Караганда",92.53.96.165,OK,"73,67","74,04","73,89"
"Киргизия, Бишкек 1",92.53.96.165,OK,"79,5","80,1","79,73"
"Киргизия, Бишкек 2",92.53.96.165,OK,"61,31","62,24","61,62"
"Латвия, Рига",92.53.96.165,OK,"35,11","35,35","35,23"
"Литва, Вильнюс",92.53.96.165,OK,"48,59","48,92","48,74"
"Молдавия, Кишинёв",92.53.96.165,OK,"70,92","71,05",71
"Узбекистан, Ташкент",92.53.96.165,OK,"83,6","84,47","83,93"
"Украина, Днепр",92.53.96.165,OK,"27,78","29,19","28,25"
"Украина, Киев, восток",92.53.96.165,OK,"28,77","28,8","28,78"
"Украина, Киев, запад",92.53.96.165,OK,"17,63","17,69","17,66"
"Украина, Киев, запад",92.53.96.165,OK,"59,63","59,7","59,67"
"Украина, Киев, центр",92.53.96.165,OK,"50,83","51,9","51,36"
"Украина, Киев, юг",92.53.96.165,OK,"46,84","47,3","47,06"
"Украина, Киев, юго-восток",92.53.96.165,OK,"26,34","26,44","26,39"
"Украина, Николаев",92.53.96.165,OK,"35,93","36,14","36,03"
"Украина, Одесса, восток",92.53.96.165,OK,"32,56","33,09","32,75"
"Украина, Одесса, запад",92.53.96.165,OK,"37,67","40,43","38,65"
"Украина, Харьков, север",92.53.96.165,OK,"18,79","18,92","18,84"
"Украина, Харьков, юг",92.53.96.165,OK,"18,72","20,53","19,6"
"Украина, Хмельницкий",92.53.96.165,OK,"28,17","28,68","28,38"
"Эстония, Таллинн",92.53.96.165,OK,"42,35","42,56","42,47"
