Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",92.53.96.165,OK,"8,93","9,33","9,09"
"Россия, Москва, восток 2",92.53.96.165,OK,"9,64","9,77","9,69"
"Россия, Москва, восток 3",92.53.96.165,OK,"9,4","9,51","9,46"
"Россия, Москва, запад 1",92.53.96.165,OK,"9,55","9,65","9,59"
"Россия, Москва, запад 2",92.53.96.165,OK,"9,18","10,36","9,69"
"Россия, Москва, запад 3",92.53.96.165,OK,"9,59","9,68","9,64"
"Россия, Москва, запад 4",92.53.96.165,OK,"8,56","9,39","8,97"
"Россия, Москва, север",92.53.96.165,OK,"8,18","8,28","8,21"
"Россия, Москва, северо-восток 1",92.53.96.165,OK,"9,75","9,98","9,83"
"Россия, Москва, северо-восток 2",92.53.96.165,OK,"12,32","12,67","12,51"
"Россия, Москва, северо-восток 3",92.53.96.165,OK,"11,53","11,74","11,62"
"Россия, Москва, северо-восток 4",92.53.96.165,OK,"9,77","10,49","10,04"
"Россия, Москва, северо-запад",92.53.96.165,OK,"11,21","11,42","11,32"
"Россия, Москва, центр 1",92.53.96.165,OK,"8,63","8,72","8,68"
"Россия, Москва, центр 2",92.53.96.165,OK,"8,64","57,82","25,09"
"Россия, Москва, центр 3",92.53.96.165,OK,"9,88","10,21",10
"Россия, Москва, центр 4",92.53.96.165,OK,"11,01","11,05","11,04"
"Россия, Москва, юг 1",92.53.96.165,OK,"9,72","10,97","10,27"
"Россия, Москва, юг 2",92.53.96.165,OK,"9,66","10,29","10,04"
"Россия, Москва, юго-восток",92.53.96.165,OK,"42,83","45,52","43,82"
"Россия, Москва, юго-запад",92.53.96.165,OK,"9,42","9,85","9,69"
"Россия, Апатиты",92.53.96.165,OK,"41,37","41,64","41,5"
"Россия, Владивосток",92.53.96.165,OK,"141,47","141,64","141,54"
"Россия, Владимир",92.53.96.165,OK,"10,84","10,87","10,85"
"Россия, Дубровка",92.53.96.165,OK,"1,56","1,72","1,62"
"Россия, Екатеринбург, запад",92.53.96.165,OK,"47,02","50,91","48,35"
"Россия, Екатеринбург, север",92.53.96.165,OK,"37,68","38,31","37,91"
"Россия, Екатеринбург, юг",92.53.96.165,OK,"39,83","41,13","40,27"
"Россия, Казань",92.53.96.165,OK,"28,5","29,13","28,75"
"Россия, Калининград",92.53.96.165,OK,"37,07","37,54","37,25"
